id,genres,name,popularity,type,uri,total_followers
4ysa9WmL4Ac8X8lv6Ud7tC,"",Frigga,41,artist,spotify:artist:4ysa9WmL4Ac8X8lv6Ud7tC,2725
0vWCyXMrrvMlCcepuOJaGI,neo mellow;neon pop punk;pop punk;pop rock;post-teen pop,Boys Like Girls,61,artist,spotify:artist:0vWCyXMrrvMlCcepuOJaGI,1113014
3q7HBObVc0L8jNeTe5Gofh,east coast hip hop;gangster rap;hip hop;pop rap;queens hip hop;rap,50 Cent,83,artist,spotify:artist:3q7HBObVc0L8jNeTe5Gofh,9810879
47NAtOqGZrJ5PHt0a0sZlP,"",Ayak,41,artist,spotify:artist:47NAtOqGZrJ5PHt0a0sZlP,235
0AJUYWKztkg5dnrHDIBv47,"",MiC LOWRY,40,artist,spotify:artist:0AJUYWKztkg5dnrHDIBv47,48379
3it7AeHVfXdby9tbwEwE3f,australian alternative pop;australian indie;shimmer pop,Owl Eyes,37,artist,spotify:artist:3it7AeHVfXdby9tbwEwE3f,22035
6jqQfGlwW8i3TGBX6SuwuN,"",Where is Maps,26,artist,spotify:artist:6jqQfGlwW8i3TGBX6SuwuN,529
1kwRrQDCpXpVliMDntpxCt,bass house;deep groove house;electro house;house;slap house,Tom Budin,48,artist,spotify:artist:1kwRrQDCpXpVliMDntpxCt,24858
7u4ayw4QFEsolPxZgnPAMT,dance pop;dutch edm;edm;house;pop dance;tropical house;uk dance,Jonasu,56,artist,spotify:artist:7u4ayw4QFEsolPxZgnPAMT,12510
28y6CyJNkGNjJQKrlx4AmN,dance pop;pop;pop dance;post-teen pop;tropical house,HRVY,63,artist,spotify:artist:28y6CyJNkGNjJQKrlx4AmN,1606920
4wrFUdBKN4RBMtC3ZoLVdw,nigerian pop,Kida Kudz,50,artist,spotify:artist:4wrFUdBKN4RBMtC3ZoLVdw,66666
22w0Xg5kpu5simeHw3afNG,"",La+ch,37,artist,spotify:artist:22w0Xg5kpu5simeHw3afNG,12097
21mKp7DqtSNHhCAU2ugvUw,chillwave;edm;ninja,ODESZA,70,artist,spotify:artist:21mKp7DqtSNHhCAU2ugvUw,1429396
5rtXklDBbI7svcUssSbrGx,"",Abigail Villanueva,22,artist,spotify:artist:5rtXklDBbI7svcUssSbrGx,118
3IAQ6JspwRCPY06WXnaguc,downtempo bass,KAMAUU,48,artist,spotify:artist:3IAQ6JspwRCPY06WXnaguc,86191
2RQXRUsr4IW1f3mKyKsy4B,pop,Noah Kahan,76,artist,spotify:artist:2RQXRUsr4IW1f3mKyKsy4B,604995
6pAwHPeExeUbMd5w7Iny6D,classical;german romanticism;post-romantic era,Richard Strauss,50,artist,spotify:artist:6pAwHPeExeUbMd5w7Iny6D,208641
4YMEiK7wphIlHHtrMi0jmM,"",Monro,16,artist,spotify:artist:4YMEiK7wphIlHHtrMi0jmM,611
62TD7509VQIxUe4WpwO0s3,baroque;classical;early music;german baroque,Johann Pachelbel,58,artist,spotify:artist:62TD7509VQIxUe4WpwO0s3,140800
4ehtJnVumNf6xzSCDk8aLB,dance pop;danish electronic;edm;electro house;pop;pop dance;pop edm;tropical house,Martin Jensen,67,artist,spotify:artist:4ehtJnVumNf6xzSCDk8aLB,1313154
1PAn2z7cLcCoRWdGpUU7Qb,pop edm,Griffin Stoller,33,artist,spotify:artist:1PAn2z7cLcCoRWdGpUU7Qb,21297
5JHw3zW4kgwIZlh33geR1K,electro house;future house;pop edm;ukrainian edm,Sagan,42,artist,spotify:artist:5JHw3zW4kgwIZlh33geR1K,23157
0D1CwES0E9iOpig8805eNX,"",Grant Smillie,4,artist,spotify:artist:0D1CwES0E9iOpig8805eNX,647
2pl0xmKbMZHncAxBcYUs79,"",Joy Club,31,artist,spotify:artist:2pl0xmKbMZHncAxBcYUs79,1328
0EZZeyrVu50jAmThrosezs,"",Joe Kosky,5,artist,spotify:artist:0EZZeyrVu50jAmThrosezs,60
2UQaxuZDAgfB3Nm9O46mAu,adelaide indie,Jesse Davidson,25,artist,spotify:artist:2UQaxuZDAgfB3Nm9O46mAu,3878
0lEssBAxQl2In4RpaB1C2Y,alternative hip hop;conscious hip hop;east coast hip hop;hardcore hip hop;hip hop;southern hip hop,Talib Kweli,55,artist,spotify:artist:0lEssBAxQl2In4RpaB1C2Y,547345
1fvMh5ZhYAdHiVxlX9xHEz,"",Le Boum,1,artist,spotify:artist:1fvMh5ZhYAdHiVxlX9xHEz,30
0FVj4JuzTyudaXAwfqDQ20,deep tropical house;edm;electropop;house;indie poptimism;pop dance;pop edm;tropical house;vapor soul;vapor twitch,Autograf,54,artist,spotify:artist:0FVj4JuzTyudaXAwfqDQ20,107597
0iAOXvEDIMaAWPP5Ur0fYF,chillhop,Joakim Karud,44,artist,spotify:artist:0iAOXvEDIMaAWPP5Ur0fYF,108591
2JqGe5yK5vhJSJb0wPa7J9,"",Kiah Victoria,33,artist,spotify:artist:2JqGe5yK5vhJSJb0wPa7J9,16615
65EXuYHVoehCKqp0kOS6px,balkan beats;downtempo;electro swing;nu jazz;tropical house,Parov Stelar,61,artist,spotify:artist:65EXuYHVoehCKqp0kOS6px,987688
6sXDsB4h2hPUWIFk3XF5v3,scandipop,Nirob Islam,28,artist,spotify:artist:6sXDsB4h2hPUWIFk3XF5v3,6572
6ctRYaAwUc6NlbyBkT50uQ,swedish tropical house,Fenris,36,artist,spotify:artist:6ctRYaAwUc6NlbyBkT50uQ,3637
3cNgZ2S4I1TnQhWcppNyZh,"",Kopa,32,artist,spotify:artist:3cNgZ2S4I1TnQhWcppNyZh,950
6vNe5MINTo5QZyR08sBOBA,german dance,Anna Naklab,54,artist,spotify:artist:6vNe5MINTo5QZyR08sBOBA,22964
7K1v3zQdCvnxHvelcbTcZ0,europop,Billie,21,artist,spotify:artist:7K1v3zQdCvnxHvelcbTcZ0,1280
5pDjmC5mRl7vDJhsjVwNfk,uk pop,Freya Ridings,60,artist,spotify:artist:5pDjmC5mRl7vDJhsjVwNfk,317644
