artist_uri,genre
spotify:artist:4ysa9WmL4Ac8X8lv6Ud7tC,""
spotify:artist:0vWCyXMrrvMlCcepuOJaGI,neo mellow
spotify:artist:0vWCyXMrrvMlCcepuOJaGI,neon pop punk
spotify:artist:0vWCyXMrrvMlCcepuOJaGI,pop punk
spotify:artist:0vWCyXMrrvMlCcepuOJaGI,pop rock
spotify:artist:0vWCyXMrrvMlCcepuOJaGI,post-teen pop
spotify:artist:3q7HBObVc0L8jNeTe5Gofh,east coast hip hop
spotify:artist:3q7HBObVc0L8jNeTe5Gofh,gangster rap
spotify:artist:3q7HBObVc0L8jNeTe5Gofh,hip hop
spotify:artist:3q7HBObVc0L8jNeTe5Gofh,pop rap
spotify:artist:3q7HBObVc0L8jNeTe5Gofh,queens hip hop
spotify:artist:3q7HBObVc0L8jNeTe5Gofh,rap
spotify:artist:47NAtOqGZrJ5PHt0a0sZlP,""
spotify:artist:0AJUYWKztkg5dnrHDIBv47,""
spotify:artist:3it7AeHVfXdby9tbwEwE3f,australian alternative pop
spotify:artist:3it7AeHVfXdby9tbwEwE3f,australian indie
spotify:artist:3it7AeHVfXdby9tbwEwE3f,shimmer pop
spotify:artist:6jqQfGlwW8i3TGBX6SuwuN,""
spotify:artist:1kwRrQDCpXpVliMDntpxCt,bass house
spotify:artist:1kwRrQDCpXpVliMDntpxCt,deep groove house
spotify:artist:1kwRrQDCpXpVliMDntpxCt,electro house
spotify:artist:1kwRrQDCpXpVliMDntpxCt,house
spotify:artist:1kwRrQDCpXpVliMDntpxCt,slap house
spotify:artist:7u4ayw4QFEsolPxZgnPAMT,dance pop
spotify:artist:7u4ayw4QFEsolPxZgnPAMT,dutch edm
spotify:artist:7u4ayw4QFEsolPxZgnPAMT,edm
spotify:artist:7u4ayw4QFEsolPxZgnPAMT,house
spotify:artist:7u4ayw4QFEsolPxZgnPAMT,pop dance
spotify:artist:7u4ayw4QFEsolPxZgnPAMT,tropical house
spotify:artist:7u4ayw4QFEsolPxZgnPAMT,uk dance
spotify:artist:28y6CyJNkGNjJQKrlx4AmN,dance pop
spotify:artist:28y6CyJNkGNjJQKrlx4AmN,pop
spotify:artist:28y6CyJNkGNjJQKrlx4AmN,pop dance
spotify:artist:28y6CyJNkGNjJQKrlx4AmN,post-teen pop
spotify:artist:28y6CyJNkGNjJQKrlx4AmN,tropical house
spotify:artist:4wrFUdBKN4RBMtC3ZoLVdw,nigerian pop
spotify:artist:22w0Xg5kpu5simeHw3afNG,""
spotify:artist:21mKp7DqtSNHhCAU2ugvUw,chillwave
spotify:artist:21mKp7DqtSNHhCAU2ugvUw,edm
spotify:artist:21mKp7DqtSNHhCAU2ugvUw,ninja
spotify:artist:5rtXklDBbI7svcUssSbrGx,""
spotify:artist:3IAQ6JspwRCPY06WXnaguc,downtempo bass
spotify:artist:2RQXRUsr4IW1f3mKyKsy4B,pop
spotify:artist:6pAwHPeExeUbMd5w7Iny6D,classical
spotify:artist:6pAwHPeExeUbMd5w7Iny6D,german romanticism
spotify:artist:6pAwHPeExeUbMd5w7Iny6D,post-romantic era
