date,sunrise,sunset,solar_noon,day_length,civil_twilight_begin,civil_twilight_end,nautical_twilight_begin,nautical_twilight_end,astronomical_twilight_begin,astronomical_twilight_end
2016-11-09,2016-11-09 06:03:14+11:00,2016-11-09 20:04:42+11:00,2016-11-09 13:03:58+11:00,50488,2016-11-09 05:35:56+11:00,2016-11-09 20:32:01+11:00,2016-11-09 05:00:54+11:00,2016-11-09 21:07:03+11:00,2016-11-09 04:23:12+11:00,2016-11-09 21:44:45+11:00
2015-07-18,2015-07-18 07:29:49+10:00,2015-07-18 17:22:52+10:00,2015-07-18 12:26:20+10:00,35583,2015-07-18 07:02:36+10:00,2015-07-18 17:50:04+10:00,2015-07-18 06:30:18+10:00,2015-07-18 18:22:22+10:00,2015-07-18 05:58:48+10:00,2015-07-18 18:53:52+10:00
2015-08-03,2015-08-03 07:17:27+10:00,2015-08-03 17:35:20+10:00,2015-08-03 12:26:24+10:00,37073,2015-08-03 06:51:05+10:00,2015-08-03 18:01:42+10:00,2015-08-03 06:19:34+10:00,2015-08-03 18:33:13+10:00,2015-08-03 05:48:38+10:00,2015-08-03 19:04:09+10:00
2016-04-16,2016-04-16 06:46:27+10:00,2016-04-16 17:53:24+10:00,2016-04-16 12:19:56+10:00,40017,2016-04-16 06:21:14+10:00,2016-04-16 18:18:37+10:00,2016-04-16 05:50:41+10:00,2016-04-16 18:49:11+10:00,2016-04-16 05:20:17+10:00,2016-04-16 19:19:35+10:00
2021-05-23,2021-05-23 07:18:33+10:00,2021-05-23 17:15:13+10:00,2021-05-23 12:16:53+10:00,35800,2021-05-23 06:51:28+10:00,2021-05-23 17:42:18+10:00,2021-05-23 06:19:18+10:00,2021-05-23 18:14:28+10:00,2021-05-23 05:47:53+10:00,2021-05-23 18:45:53+10:00
2018-06-09,2018-06-09 07:29:35+10:00,2018-06-09 17:09:03+10:00,2018-06-09 12:19:19+10:00,34768,2018-06-09 07:01:50+10:00,2018-06-09 17:36:48+10:00,2018-06-09 06:29:02+10:00,2018-06-09 18:09:36+10:00,2018-06-09 05:57:09+10:00,2018-06-09 18:41:29+10:00
2017-06-10,2017-06-10 07:30:12+10:00,2017-06-10 17:08:55+10:00,2017-06-10 12:19:34+10:00,34723,2017-06-10 07:02:25+10:00,2017-06-10 17:36:42+10:00,2017-06-10 06:29:35+10:00,2017-06-10 18:09:32+10:00,2017-06-10 05:57:41+10:00,2017-06-10 18:41:26+10:00
2018-03-14,2018-03-14 07:15:48+11:00,2018-03-14 19:43:07+11:00,2018-03-14 13:29:27+11:00,44839,2018-03-14 06:50:51+11:00,2018-03-14 20:08:03+11:00,2018-03-14 06:19:57+11:00,2018-03-14 20:38:57+11:00,2018-03-14 05:48:24+11:00,2018-03-14 21:10:30+11:00
2020-12-23,2020-12-23 05:54:09+11:00,2020-12-23 20:44:20+11:00,2020-12-23 13:19:14+11:00,53411,2020-12-23 05:24:23+11:00,2020-12-23 21:14:06+11:00,2020-12-23 04:45:05+11:00,2020-12-23 21:53:24+11:00,2020-12-23 04:00:29+11:00,2020-12-23 22:37:59+11:00
2018-03-11,2018-03-11 07:12:55+11:00,2018-03-11 19:47:36+11:00,2018-03-11 13:30:15+11:00,45281,2018-03-11 06:47:53+11:00,2018-03-11 20:12:38+11:00,2018-03-11 06:16:49+11:00,2018-03-11 20:43:42+11:00,2018-03-11 05:45:01+11:00,2018-03-11 21:15:30+11:00
2020-10-19,2020-10-19 06:27:34+11:00,2020-10-19 19:42:37+11:00,2020-10-19 13:05:06+11:00,47703,2020-10-19 06:01:48+11:00,2020-10-19 20:08:23+11:00,2020-10-19 05:29:23+11:00,2020-10-19 20:40:49+11:00,2020-10-19 04:55:33+11:00,2020-10-19 21:14:38+11:00
2018-08-09,2018-08-09 07:10:53+10:00,2018-08-09 17:40:33+10:00,2018-08-09 12:25:43+10:00,37780,2018-08-09 06:44:52+10:00,2018-08-09 18:06:35+10:00,2018-08-09 06:13:39+10:00,2018-08-09 18:37:48+10:00,2018-08-09 05:42:55+10:00,2018-08-09 19:08:32+10:00
2016-09-09,2016-09-09 06:28:02+10:00,2016-09-09 18:06:52+10:00,2016-09-09 12:17:27+10:00,41930,2016-09-09 06:03:09+10:00,2016-09-09 18:31:45+10:00,2016-09-09 05:32:46+10:00,2016-09-09 19:02:08+10:00,2016-09-09 05:02:15+10:00,2016-09-09 19:32:39+10:00
2020-01-25,2020-01-25 06:23:39+11:00,2020-01-25 20:40:50+11:00,2020-01-25 13:32:14+11:00,51431,2020-01-25 05:55:39+11:00,2020-01-25 21:08:49+11:00,2020-01-25 05:19:26+11:00,2020-01-25 21:45:02+11:00,2020-01-25 04:39:55+11:00,2020-01-25 22:24:33+11:00
2016-12-14,2016-12-14 05:50:31+11:00,2016-12-14 20:39:07+11:00,2016-12-14 13:14:49+11:00,53316,2016-12-14 05:20:51+11:00,2016-12-14 21:08:47+11:00,2016-12-14 04:41:43+11:00,2016-12-14 21:47:55+11:00,2016-12-14 03:57:25+11:00,2016-12-14 22:32:13+11:00
2016-03-18,2016-03-18 07:20:03+11:00,2016-03-18 19:36:19+11:00,2016-03-18 13:28:11+11:00,44176,2016-03-18 06:55:11+11:00,2016-03-18 20:01:11+11:00,2016-03-18 06:24:29+11:00,2016-03-18 20:31:53+11:00,2016-03-18 05:53:17+11:00,2016-03-18 21:03:05+11:00
2021-03-07,2021-03-07 07:09:15+11:00,2021-03-07 19:53:07+11:00,2021-03-07 13:31:11+11:00,45832,2021-03-07 06:44:07+11:00,2021-03-07 20:18:16+11:00,2021-03-07 06:12:48+11:00,2021-03-07 20:49:34+11:00,2021-03-07 05:40:38+11:00,2021-03-07 21:21:45+11:00
2020-11-10,2020-11-10 06:02:18+11:00,2020-11-10 20:05:50+11:00,2020-11-10 13:04:04+11:00,50612,2020-11-10 05:34:54+11:00,2020-11-10 20:33:13+11:00,2020-11-10 04:59:43+11:00,2020-11-10 21:08:24+11:00,2020-11-10 04:21:48+11:00,2020-11-10 21:46:19+11:00
2020-10-09,2020-10-09 06:41:47+11:00,2020-10-09 19:32:59+11:00,2020-10-09 13:07:23+11:00,46272,2020-10-09 06:16:31+11:00,2020-10-09 19:58:15+11:00,2020-10-09 05:44:59+11:00,2020-10-09 20:29:47+11:00,2020-10-09 05:12:29+11:00,2020-10-09 21:02:17+11:00
2014-08-08,2014-08-08 07:12:01+10:00,2014-08-08 17:39:41+10:00,2014-08-08 12:25:51+10:00,37660,2014-08-08 06:45:56+10:00,2014-08-08 18:05:46+10:00,2014-08-08 06:14:41+10:00,2014-08-08 18:37:01+10:00,2014-08-08 05:43:54+10:00,2014-08-08 19:07:48+10:00
2016-08-31,2016-08-31 06:41:30+10:00,2016-08-31 17:59:23+10:00,2016-08-31 12:20:26+10:00,40673,2016-08-31 06:16:26+10:00,2016-08-31 18:24:27+10:00,2016-08-31 05:45:58+10:00,2016-08-31 18:54:55+10:00,2016-08-31 05:15:35+10:00,2016-08-31 19:25:18+10:00
2018-03-03,2018-03-03 07:04:59+11:00,2018-03-03 19:59:19+11:00,2018-03-03 13:32:09+11:00,46460,2018-03-03 06:39:40+11:00,2018-03-03 20:24:38+11:00,2018-03-03 06:08:03+11:00,2018-03-03 20:56:15+11:00,2018-03-03 05:35:23+11:00,2018-03-03 21:28:54+11:00
2017-04-03,2017-04-03 06:34:31+10:00,2017-04-03 18:12:26+10:00,2017-04-03 12:23:28+10:00,41875,2017-04-03 06:09:38+10:00,2017-04-03 18:37:19+10:00,2017-04-03 05:39:15+10:00,2017-04-03 19:07:42+10:00,2017-04-03 05:08:45+10:00,2017-04-03 19:38:12+10:00
2015-08-02,2015-08-02 07:18:25+10:00,2015-08-02 17:34:31+10:00,2015-08-02 12:26:28+10:00,36966,2015-08-02 06:52:00+10:00,2015-08-02 18:00:56+10:00,2015-08-02 06:20:26+10:00,2015-08-02 18:32:30+10:00,2015-08-02 05:49:27+10:00,2015-08-02 19:03:28+10:00
2015-01-18,2015-01-18 06:16:07+11:00,2015-01-18 20:44:33+11:00,2015-01-18 13:30:20+11:00,52106,2015-01-18 05:47:35+11:00,2015-01-18 21:13:06+11:00,2015-01-18 05:10:24+11:00,2015-01-18 21:50:16+11:00,2015-01-18 04:29:22+11:00,2015-01-18 22:31:18+11:00
2021-10-20,2021-10-20 06:26:33+11:00,2021-10-20 19:43:22+11:00,2021-10-20 13:04:58+11:00,47809,2021-10-20 06:00:44+11:00,2021-10-20 20:09:11+11:00,2021-10-20 05:28:14+11:00,2021-10-20 20:41:41+11:00,2021-10-20 04:54:18+11:00,2021-10-20 21:15:38+11:00
2015-08-27,2015-08-27 06:48:19+10:00,2015-08-27 17:55:25+10:00,2015-08-27 12:21:52+10:00,40026,2015-08-27 06:23:06+10:00,2015-08-27 18:20:38+10:00,2015-08-27 05:52:32+10:00,2015-08-27 18:51:12+10:00,2015-08-27 05:22:09+10:00,2015-08-27 19:21:35+10:00
2018-05-29,2018-05-29 07:22:48+10:00,2018-05-29 17:12:12+10:00,2018-05-29 12:17:30+10:00,35364,2018-05-29 06:55:27+10:00,2018-05-29 17:39:33+10:00,2018-05-29 06:23:01+10:00,2018-05-29 18:11:58+10:00,2018-05-29 05:51:25+10:00,2018-05-29 18:43:34+10:00
2018-06-29,2018-06-29 07:35:01+10:00,2018-06-29 17:12:04+10:00,2018-06-29 12:23:33+10:00,34623,2018-06-29 07:07:10+10:00,2018-06-29 17:39:56+10:00,2018-06-29 06:34:16+10:00,2018-06-29 18:12:49+10:00,2018-06-29 06:02:19+10:00,2018-06-29 18:44:47+10:00
2016-04-28,2016-04-28 06:57:16+10:00,2016-04-28 17:37:59+10:00,2016-04-28 12:17:38+10:00,38443,2016-04-28 06:31:32+10:00,2016-04-28 18:03:44+10:00,2016-04-28 06:00:34+10:00,2016-04-28 18:34:42+10:00,2016-04-28 05:29:58+10:00,2016-04-28 19:05:17+10:00
2014-09-07,2014-09-07 06:31:51+10:00,2014-09-07 18:04:46+10:00,2014-09-07 12:18:19+10:00,41575,2014-09-07 06:06:56+10:00,2014-09-07 18:29:42+10:00,2014-09-07 05:36:33+10:00,2014-09-07 19:00:05+10:00,2014-09-07 05:06:05+10:00,2014-09-07 19:30:32+10:00
2016-12-29,2016-12-29 05:57:58+11:00,2016-12-29 20:46:25+11:00,2016-12-29 13:22:11+11:00,53307,2016-12-29 05:28:19+11:00,2016-12-29 21:16:04+11:00,2016-12-29 04:49:12+11:00,2016-12-29 21:55:11+11:00,2016-12-29 04:04:55+11:00,2016-12-29 22:39:28+11:00
2015-11-21,2015-11-21 05:54:41+11:00,2015-11-21 20:16:59+11:00,2015-11-21 13:05:50+11:00,51738,2015-11-21 05:26:26+11:00,2015-11-21 20:45:13+11:00,2015-11-21 04:49:48+11:00,2015-11-21 21:21:52+11:00,2015-11-21 04:09:37+11:00,2015-11-21 22:02:03+11:00
2016-09-11,2016-09-11 06:24:58+10:00,2016-09-11 18:08:32+10:00,2016-09-11 12:16:45+10:00,42214,2016-09-11 06:00:06+10:00,2016-09-11 18:33:23+10:00,2016-09-11 05:29:43+10:00,2016-09-11 19:03:47+10:00,2016-09-11 04:59:09+10:00,2016-09-11 19:34:21+10:00
2018-01-01,2018-01-01 06:00:04+11:00,2018-01-01 20:46:58+11:00,2018-01-01 13:23:31+11:00,53214,2018-01-01 05:30:30+11:00,2018-01-01 21:16:31+11:00,2018-01-01 04:51:33+11:00,2018-01-01 21:55:29+11:00,2018-01-01 04:07:33+11:00,2018-01-01 22:39:28+11:00
2017-12-30,2017-12-30 05:58:31+11:00,2017-12-30 20:46:35+11:00,2017-12-30 13:22:33+11:00,53284,2017-12-30 05:28:53+11:00,2017-12-30 21:16:13+11:00,2017-12-30 04:49:49+11:00,2017-12-30 21:55:18+11:00,2017-12-30 04:05:37+11:00,2017-12-30 22:39:30+11:00
2016-05-29,2016-05-29 07:23:08+10:00,2016-05-29 17:11:59+10:00,2016-05-29 12:17:33+10:00,35331,2016-05-29 06:55:46+10:00,2016-05-29 17:39:21+10:00,2016-05-29 06:23:19+10:00,2016-05-29 18:11:48+10:00,2016-05-29 05:51:42+10:00,2016-05-29 18:43:25+10:00
