id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
7HbwANSdBmfQYCBvBZgvqJ,0.818,0.651,1.0,-7.894,0.0,0.0605,0.491,0.000726,0.0318,0.254,103.989,audio_features,spotify:track:7HbwANSdBmfQYCBvBZgvqJ,https://api.spotify.com/v1/tracks/7HbwANSdBmfQYCBvBZgvqJ,https://api.spotify.com/v1/audio-analysis/7HbwANSdBmfQYCBvBZgvqJ,211788.0,4.0
02nAkXjQmCrZXm492R7pLa,0.667,0.809,2.0,-8.115,1.0,0.0815,0.107,0.0014,0.187,0.364,126.019,audio_features,spotify:track:02nAkXjQmCrZXm492R7pLa,https://api.spotify.com/v1/tracks/02nAkXjQmCrZXm492R7pLa,https://api.spotify.com/v1/audio-analysis/02nAkXjQmCrZXm492R7pLa,200000.0,4.0
21QdVw8LviPfxOlTXvIPaA,0.717,0.637,0.0,-3.401,0.0,0.0347,0.25,0.306,0.347,0.392,119.951,audio_features,spotify:track:21QdVw8LviPfxOlTXvIPaA,https://api.spotify.com/v1/tracks/21QdVw8LviPfxOlTXvIPaA,https://api.spotify.com/v1/audio-analysis/21QdVw8LviPfxOlTXvIPaA,246000.0,3.0
6jvQYpOBLrlIUC1K7woQMi,0.642,0.719,7.0,-5.377,1.0,0.0334,0.081,0.0,0.101,0.975,103.929,audio_features,spotify:track:6jvQYpOBLrlIUC1K7woQMi,https://api.spotify.com/v1/tracks/6jvQYpOBLrlIUC1K7woQMi,https://api.spotify.com/v1/audio-analysis/6jvQYpOBLrlIUC1K7woQMi,142253.0,4.0
3dEFa9KjOLEZl980ctEEv1,0.564,0.923,9.0,-3.843,0.0,0.0325,0.00147,0.0,0.277,0.587,141.991,audio_features,spotify:track:3dEFa9KjOLEZl980ctEEv1,https://api.spotify.com/v1/tracks/3dEFa9KjOLEZl980ctEEv1,https://api.spotify.com/v1/audio-analysis/3dEFa9KjOLEZl980ctEEv1,234526.0,4.0
5ctXZyWLbYyUSpPOdlKTlj,0.716,0.729,6.0,-5.726,0.0,0.0375,0.00532,0.000597,0.313,0.498,124.003,audio_features,spotify:track:5ctXZyWLbYyUSpPOdlKTlj,https://api.spotify.com/v1/tracks/5ctXZyWLbYyUSpPOdlKTlj,https://api.spotify.com/v1/audio-analysis/5ctXZyWLbYyUSpPOdlKTlj,182126.0,4.0
4fTPPYBKqvVXd57vZkty0l,0.564,0.795,1.0,-6.63,0.0,0.0605,0.0209,4.94e-06,0.0916,0.155,125.986,audio_features,spotify:track:4fTPPYBKqvVXd57vZkty0l,https://api.spotify.com/v1/tracks/4fTPPYBKqvVXd57vZkty0l,https://api.spotify.com/v1/audio-analysis/4fTPPYBKqvVXd57vZkty0l,217760.0,4.0
7LAz3xocYylGmDxsdGkcn1,0.626,0.938,7.0,-3.005,1.0,0.0944,0.0039,0.000452,0.599,0.518,124.932,audio_features,spotify:track:7LAz3xocYylGmDxsdGkcn1,https://api.spotify.com/v1/tracks/7LAz3xocYylGmDxsdGkcn1,https://api.spotify.com/v1/audio-analysis/7LAz3xocYylGmDxsdGkcn1,203907.0,4.0
0NcSke69EToRbuJ66arUDW,0.715,0.636,0.0,-3.4,0.0,0.035,0.249,0.334,0.348,0.404,119.969,audio_features,spotify:track:0NcSke69EToRbuJ66arUDW,https://api.spotify.com/v1/tracks/0NcSke69EToRbuJ66arUDW,https://api.spotify.com/v1/audio-analysis/0NcSke69EToRbuJ66arUDW,246000.0,3.0
4vxjYgy7DNCWmlyyAmk3m5,0.431,0.806,11.0,-4.788,0.0,0.0374,0.197,6.89e-06,0.348,0.146,114.057,audio_features,spotify:track:4vxjYgy7DNCWmlyyAmk3m5,https://api.spotify.com/v1/tracks/4vxjYgy7DNCWmlyyAmk3m5,https://api.spotify.com/v1/audio-analysis/4vxjYgy7DNCWmlyyAmk3m5,190278.0,4.0
6BnONjR7itGMEqwxKTIlRM,0.653,0.822,0.0,-4.857,1.0,0.033,0.00021,0.0047,0.0838,0.762,117.949,audio_features,spotify:track:6BnONjR7itGMEqwxKTIlRM,https://api.spotify.com/v1/tracks/6BnONjR7itGMEqwxKTIlRM,https://api.spotify.com/v1/audio-analysis/6BnONjR7itGMEqwxKTIlRM,192790.0,5.0
0bTDn1Cg64Uhlt6rcXiX8B,0.545,0.911,10.0,-3.545,1.0,0.348,0.08,4.77e-05,0.0819,0.521,104.137,audio_features,spotify:track:0bTDn1Cg64Uhlt6rcXiX8B,https://api.spotify.com/v1/tracks/0bTDn1Cg64Uhlt6rcXiX8B,https://api.spotify.com/v1/audio-analysis/0bTDn1Cg64Uhlt6rcXiX8B,200769.0,4.0
0dyoBdDdgJa8rDQJKeHtGu,0.545,0.776,4.0,-6.951,0.0,0.0291,9.61e-05,0.893,0.23,0.0627,124.924,audio_features,spotify:track:0dyoBdDdgJa8rDQJKeHtGu,https://api.spotify.com/v1/tracks/0dyoBdDdgJa8rDQJKeHtGu,https://api.spotify.com/v1/audio-analysis/0dyoBdDdgJa8rDQJKeHtGu,78680.0,4.0
75ylrnob5O80WTKi9ugZ1Z,0.72,0.658,2.0,-7.414,1.0,0.0446,0.0329,0.0302,0.123,0.134,98.001,audio_features,spotify:track:75ylrnob5O80WTKi9ugZ1Z,https://api.spotify.com/v1/tracks/75ylrnob5O80WTKi9ugZ1Z,https://api.spotify.com/v1/audio-analysis/75ylrnob5O80WTKi9ugZ1Z,171898.0,4.0
0kOUusNPraZGQfqcnA1zoP,0.586,0.542,5.0,-6.883,1.0,0.185,0.0254,2.1e-06,0.131,0.43,125.078,audio_features,spotify:track:0kOUusNPraZGQfqcnA1zoP,https://api.spotify.com/v1/tracks/0kOUusNPraZGQfqcnA1zoP,https://api.spotify.com/v1/audio-analysis/0kOUusNPraZGQfqcnA1zoP,176947.0,4.0
14W1QY0DIY6U0g0IWdYpmk,0.654,0.686,1.0,-5.0,1.0,0.0737,0.108,0.0,0.136,0.661,110.214,audio_features,spotify:track:14W1QY0DIY6U0g0IWdYpmk,https://api.spotify.com/v1/tracks/14W1QY0DIY6U0g0IWdYpmk,https://api.spotify.com/v1/audio-analysis/14W1QY0DIY6U0g0IWdYpmk,178501.0,4.0
4vJAhLLHcgPeR3pQopGaIG,0.482,0.727,9.0,-5.988,0.0,0.0346,0.0441,0.0,0.0921,0.378,79.974,audio_features,spotify:track:4vJAhLLHcgPeR3pQopGaIG,https://api.spotify.com/v1/tracks/4vJAhLLHcgPeR3pQopGaIG,https://api.spotify.com/v1/audio-analysis/4vJAhLLHcgPeR3pQopGaIG,298453.0,4.0
7fPHfBCyKE3aVCBjE4DAvl,0.48,0.682,7.0,-4.94,1.0,0.13,0.0696,0.0,0.0463,0.506,167.939,audio_features,spotify:track:7fPHfBCyKE3aVCBjE4DAvl,https://api.spotify.com/v1/tracks/7fPHfBCyKE3aVCBjE4DAvl,https://api.spotify.com/v1/audio-analysis/7fPHfBCyKE3aVCBjE4DAvl,235653.0,3.0
6GIRtKNXokeu25nn7U6Hu8,0.564,0.747,5.0,-3.374,1.0,0.0584,0.0728,0.0,0.151,0.717,97.878,audio_features,spotify:track:6GIRtKNXokeu25nn7U6Hu8,https://api.spotify.com/v1/tracks/6GIRtKNXokeu25nn7U6Hu8,https://api.spotify.com/v1/audio-analysis/6GIRtKNXokeu25nn7U6Hu8,165767.0,4.0
2iUmqdfGZcHIhS3b9E9EWq,0.471,0.924,8.0,-3.906,1.0,0.0586,0.00301,0.0,0.313,0.725,154.961,audio_features,spotify:track:2iUmqdfGZcHIhS3b9E9EWq,https://api.spotify.com/v1/tracks/2iUmqdfGZcHIhS3b9E9EWq,https://api.spotify.com/v1/audio-analysis/2iUmqdfGZcHIhS3b9E9EWq,177280.0,4.0
15uFqHGAOvaGCqikvgiW6w,0.722,0.635,6.0,-9.6,0.0,0.0419,0.141,0.000873,0.3,0.53,123.999,audio_features,spotify:track:15uFqHGAOvaGCqikvgiW6w,https://api.spotify.com/v1/tracks/15uFqHGAOvaGCqikvgiW6w,https://api.spotify.com/v1/audio-analysis/15uFqHGAOvaGCqikvgiW6w,221421.0,4.0
6tfb2ZH1L2snTmLQeqtMhZ,0.3,0.0109,1.0,-28.419,1.0,0.0432,0.99,0.925,0.101,0.0392,88.697,audio_features,spotify:track:6tfb2ZH1L2snTmLQeqtMhZ,https://api.spotify.com/v1/tracks/6tfb2ZH1L2snTmLQeqtMhZ,https://api.spotify.com/v1/audio-analysis/6tfb2ZH1L2snTmLQeqtMhZ,401093.0,3.0
