track_uri,artist_uri
spotify:track:21QdVw8LviPfxOlTXvIPaA,spotify:artist:5R3Hr2cnCCjt220Jmt2xLf
spotify:track:21QdVw8LviPfxOlTXvIPaA,spotify:artist:0g3NiCRhEv7M4SEDMrpItN
spotify:track:5ctXZyWLbYyUSpPOdlKTlj,spotify:artist:4bL2B6hmLlMWnUEZnorEtG
spotify:track:3dEFa9KjOLEZl980ctEEv1,spotify:artist:1moxjboGR7GNWYIMWsRjgG
spotify:track:7LAz3xocYylGmDxsdGkcn1,spotify:artist:1IueXOQyABrMOprrzwQJWN
spotify:track:7LAz3xocYylGmDxsdGkcn1,spotify:artist:5fyDppLDl1juIu1BcUT5zh
spotify:track:6jvQYpOBLrlIUC1K7woQMi,spotify:artist:74WcfqC2hmUFHEJs0PDqYi
spotify:track:7HbwANSdBmfQYCBvBZgvqJ,spotify:artist:69VkQLf4DH7GJ68BCDOPKL
spotify:track:0NcSke69EToRbuJ66arUDW,spotify:artist:5R3Hr2cnCCjt220Jmt2xLf
spotify:track:0NcSke69EToRbuJ66arUDW,spotify:artist:0g3NiCRhEv7M4SEDMrpItN
spotify:track:4fTPPYBKqvVXd57vZkty0l,spotify:artist:00FQb4jTyendYWaN8pK0wa
spotify:track:4fTPPYBKqvVXd57vZkty0l,spotify:artist:4Wjf8diP59VmPG7fi4y724
spotify:track:02nAkXjQmCrZXm492R7pLa,spotify:artist:565xsae0SXPGmZnbzV7PsN
spotify:track:0pbRGnuNNOVjdOlgRwmkey,spotify:artist:2NQEwAVHBNcI0tGMLlWwF1
spotify:track:2jzNDwRu84ZEMIjCqFGkHs,spotify:artist:1y07gMlsfAdz2KOvZzyUTB
spotify:track:5xgZy6Sg6TwlVGyardvT4s,spotify:artist:5JZ7CnR6gTvEMKX4g70Amv
spotify:track:5xgZy6Sg6TwlVGyardvT4s,spotify:artist:1FMPHgOCUsUhtNBZMDwdhD
spotify:track:4fZfIJC86NiTIQJACILG3i,spotify:artist:0UZ1nu3kcdNlCoiKRjmSSY
spotify:track:4fZfIJC86NiTIQJACILG3i,spotify:artist:0lYzZ91QzokaPrRK1vq6tW
spotify:track:4fZfIJC86NiTIQJACILG3i,spotify:artist:1zlKMq4vfH4f037a8JjKlq
spotify:track:2iUmqdfGZcHIhS3b9E9EWq,spotify:artist:0RpddSzUHfncUWNJXKOsjy
spotify:track:2CjIKPKZZ4QYGZlIfyfeXO,spotify:artist:4GQbEubUneU1YlR4KFvUPm
spotify:track:2CjIKPKZZ4QYGZlIfyfeXO,spotify:artist:3EDo5M4D2IAhisy3TDpkWg
spotify:track:2CjIKPKZZ4QYGZlIfyfeXO,spotify:artist:2HkqD9bmnrPK7mXNMpZQIQ
spotify:track:09D8BeAoFY4qjInOV46f8h,spotify:artist:6ctRYaAwUc6NlbyBkT50uQ
spotify:track:09D8BeAoFY4qjInOV46f8h,spotify:artist:3eZwYHz0RTi2tew6tsrbFr
spotify:track:0pEkK8MqbmGSX7fT8WLMbR,spotify:artist:4GNC7GD6oZMSxPGyXy4MNB
